countrycode|language|isofficial|percentage
NER|Kanuri|0|4.4000001
NGA|Ibibio|0|5.5999999
NOR|Saame|0|0
CIV|[South]Mande|0|7.6999998
PAK|Urdu|1|7.5999999
PAN|Embera|0|0.60000002
MNP|English|1|4.8000002
FRA|Spanish|0|0.40000001
REU|Tamil|0|0
ROM|Ukrainian|0|0.30000001
SWE|Spanish|0|0.60000002
DEU|Greek|0|0.40000001
ZMB|Chewa|0|5.6999998
SEN|Malinke|0|3.8
SLE|Bullom-sherbro|0|3.8
SVK|Ukrainian and Russian|0|0.60000002
SDN|Nuer|0|4.9000001
FIN|Saame|0|0
TWN|Atayal|0|0.40000001
TZA|Makonde|0|5.9000001
DNK|English|0|0.30000001
THA|Khmer|0|1.3
TGO|Ane|0|5.6999998
TCD|Ouaddai|0|8.6999998
CZE|German|0|0.5
UGA|Teso|0|6
UKR|Hungarian|0|0.30000001
HUN|Romanian|0|0.1
UZB|Karakalpak|0|2
RUS|Bashkir|0|0.69999999
VNM|Chinese|0|1.4
EST|Finnish|0|0.69999999
USA|Italian|0|0.60000002
AGO|Chokwe|0|4.1999998
AUS|Vietnamese|0|0.80000001
BGD|Santhali|0|0.1
BEL|Turkish|0|0.89999998
BEN|Somba|0|6.6999998
BFA|Dyula|0|2.5999999
ERI|Saho|0|3
ZAF|Tswana|0|8.1000004
ETH|Sidamo|0|3.2
PHL|Waray-waray|0|3.8
GEO|Abhyasi|0|1.7
GHA|Joruba|0|1.3
GIN|Yalunka|0|2.9000001
GNB|Mandyako|0|4.9000001
IDN|Batakki|0|2.2
IND|Urdu|0|5.0999999
IRN|Mazandarani|0|3.5999999
ITA|Albaniana|0|0.2
AUT|Polish|0|0.2
JPN|Ainu|0|0
YUG|Macedonian|0|0.5
CMR|Mandara|0|5.6999998
CAN|Polish|0|0.69999999
KAZ|Tatar|0|2
KEN|Gusii|0|6.0999999
CAF|Mbum|0|6.4000001
CHN|Uighur|0|0.60000002
KGZ|Kazakh|0|0.80000001
COG|Sango|0|2.5999999
COD|Ngala and Bangi|0|5.8000002
LVA|Lithuanian|0|1.2
LBR|Mano|0|7.1999998
MYS|Dusun|0|1.1
MLI|Songhai|0|6.9000001
MRT|Zenaga|0|1.2
MUS|Marathi|0|0.69999999
MEX|Otomí|0|0.40000001
FSM|Wolea|0|3.7
MNG|Dariganga|0|1.4
MOZ|Tswa|0|6
MMR|Chin|0|2.2
NAM|Caprivi|0|4.6999998
NPL|Newari|0|3.7
NGA|Kanuri|0|4.0999999
PAK|Balochi|0|3
PAN|Arabic|0|0.60000002
MNP|Carolinian|0|4.8000002
FRA|Turkish|0|0.40000001
ROM|Serbo-Croatian|0|0.1
SWE|Norwegian|0|0.5
DEU|Polish|0|0.30000001
ZMB|Nsenga|0|4.3000002
SEN|Soninke|0|1.3
SLE|Ful|0|3.8
SDN|Zande|0|2.7
TWN|Paiwan|0|0.30000001
TZA|Nyakusa|0|5.4000001
DNK|Swedish|0|0.30000001
THA|Kuy|0|1.1
TGO|Moba|0|5.4000001
TCD|Hadjarai|0|6.6999998
CZE|Silesiana|0|0.40000001
UGA|Lango|0|5.9000001
UKR|Belorussian|0|0.30000001
HUN|Slovak|0|0.1
UZB|Tatar|0|1.8
RUS|Chechen|0|0.60000002
VNM|Khmer|0|1.4
USA|Chinese|0|0.60000002
AGO|Luvale|0|3.5999999
AUS|Serbo-Croatian|0|0.60000002
BGD|Tripuri|0|0.1
BEN|Ful|0|5.5999999
ZAF|Southsotho|0|7.5999999
ETH|Walaita|0|2.8
PHL|Pampango|0|3
GIN|Loma|0|2.3
IDN|Bugi|0|2.2
IND|Gujarati|0|4.8000002
IRN|Balochi|0|2.3
ITA|Slovene|0|0.2
AUT|Czech|0|0.2
CMR|Maka|0|4.9000001
CAN|Spanish|0|0.69999999
KEN|Meru|0|5.5
CHN|Yi|0|0.60000002
KGZ|Tadzhik|0|0.80000001
COD|Rundi|0|3.8
LBR|Loma|0|5.8000002
MOZ|Chuabo|0|5.6999998
MMR|Kachin|0|1.4
NAM|San|0|1.9
NPL|Hindi|0|3
NGA|Edo|0|3.3
PAK|Hindko|0|2.4000001
SLE|Kuranko|0|3.4000001
SDN|Bari|0|2.5
TZA|Chaga and Pare|0|4.9000001
